x,y,width,height,area
1200,2283,22,20,425
1258,2282,22,21,462
1314,2282,21,20,420
1372,2282,21,20,406
686,2285,23,21,452
746,2285,21,21,425
802,2285,22,20,422
860,2285,22,20,440
917,2285,22,20,440
973,2284,22,22,450
1029,2284,22,21,462
1087,2284,22,20,424
457,2287,22,21,428
515,2286,22,21,422
572,2287,21,19,399
630,2286,22,20,440
2311,2363,22,21,443
1826,2365,22,21,446
1881,2365,23,21,432
1939,2365,21,21,423
1994,2365,22,21,425
2051,2365,22,21,429
2106,2365,22,20,426
2163,2365,21,21,423
1429,2367,21,21,441
1485,2367,22,21,445
1543,2367,22,21,448
1599,2366,22,22,466
1653,2367,22,20,425
1711,2366,22,21,445
1767,2366,21,21,441
1201,2369,23,21,458
1259,2368,22,22,445
1316,2368,21,21,424
1373,2368,21,21,441
0,2371,7,62,330
803,2371,22,21,462
1030,2371,23,21,454
1088,2370,22,21,431
1147,2370,21,20,420
516,2373,22,22,447
573,2373,22,21,430
631,2372,23,22,450
688,2372,22,21,462
747,2372,22,21,427
861,2372,22,20,440
918,2372,22,20,440
974,2372,22,20,440
459,2374,22,21,428
0,2434,8,42,324
2315,2608,22,20,440
1715,2611,22,21,444
1771,2611,21,21,423
1830,2611,22,21,446
1886,2611,22,20,440
1943,2611,22,20,423
1999,2611,22,20,423
2056,2611,22,20,440
2112,2611,22,20,423
2167,2611,22,20,440
1263,2613,22,21,447
1319,2613,21,21,441
1376,2613,22,21,427
1432,2612,22,22,451
1490,2612,22,21,447
1547,2612,22,21,462
1603,2612,22,20,440
1657,2612,22,21,426
1092,2615,22,21,462
1150,2614,21,22,446
1205,2614,22,21,431
921,2617,22,22,466
978,2616,22,22,436
1034,2616,22,21,462
690,2619,23,22,486
749,2619,22,21,444
806,2619,22,21,462
864,2618,23,22,454
575,2620,22,22,468
633,2620,23,21,468
459,2622,22,22,451
518,2622,22,21,444
2316,2643,21,20,420
1831,2647,22,20,422
1887,2647,22,19,402
1944,2646,22,20,424
1999,2646,22,20,423
2056,2646,22,20,423
2112,2646,22,20,440
2167,2646,22,20,440
1206,2649,22,21,445
1264,2649,21,20,420
1319,2649,21,19,399
1377,2648,22,20,412
1433,2648,21,20,420
1490,2648,22,20,421
1548,2648,22,20,440
1604,2648,22,20,377
1657,2648,22,20,421
1716,2648,21,20,402
1771,2648,22,19,418
1093,2651,21,20,420
1150,2650,22,20,412
978,2653,22,20,440
1034,2652,23,20,430
749,2655,22,21,436
807,2655,21,21,426
865,2654,22,21,462
922,2654,22,20,440
575,2657,22,20,425
633,2657,23,20,460
690,2656,23,20,460
460,2659,21,20,405
518,2658,22,20,424
2316,2694,22,20,388
1945,2697,22,20,423
2001,2697,21,20,420
2057,2697,23,20,429
2113,2697,22,20,440
2168,2697,21,19,399
1320,2699,21,21,424
1378,2699,21,21,425
1433,2699,22,20,428
1491,2698,22,21,462
1548,2699,23,20,445
1604,2698,22,21,447
1658,2698,22,21,431
1717,2698,21,20,420
1773,2698,21,20,420
1832,2698,22,20,396
1888,2698,22,20,425
1151,2701,22,20,424
1207,2700,21,21,431
1264,2700,22,20,440
1035,2703,22,20,440
1093,2702,22,20,413
922,2705,22,21,462
979,2704,22,20,424
691,2707,22,21,443
750,2707,22,21,447
807,2706,22,21,445
865,2706,23,20,460
518,2709,22,21,462
575,2709,22,21,447
634,2708,22,21,462
460,2710,21,21,423
2316,2731,22,20,440
2168,2733,22,21,462
1491,2735,22,22,468
1549,2735,22,22,471
1605,2735,22,21,443
1658,2735,23,21,467
1717,2735,22,21,444
1773,2735,21,21,441
1832,2735,22,21,462
1888,2735,22,21,432
1945,2734,22,21,422
2001,2734,22,21,429
2058,2734,23,20,443
2113,2734,22,20,424
1207,2737,22,21,444
1265,2737,22,21,431
1320,2737,22,20,440
1378,2736,22,21,414
1434,2736,21,21,441
1094,2739,21,21,426
1152,2738,21,21,441
979,2741,22,21,462
1035,2740,23,21,453
866,2743,23,22,449
922,2742,23,21,456
691,2745,23,22,476
750,2745,22,21,462
807,2744,22,22,469
575,2746,22,22,466
634,2746,22,21,462
460,2748,22,22,457
518,2748,22,21,427
2316,2781,22,20,424
2168,2783,22,21,462
1946,2785,22,21,446
2059,2785,21,20,420
2114,2784,21,21,425
1379,2787,22,21,450
1434,2787,22,21,462
1492,2787,22,21,462
1549,2787,23,21,446
1605,2787,22,20,440
1659,2787,23,21,431
1718,2786,21,21,415
1773,2786,22,21,444
