x,y,width,height,area,group_number
1604,2698,22,21,447,21
1658,2698,22,21,431,21
1717,2698,21,20,420,21
1773,2698,21,20,420,21
1832,2698,22,20,396,21
1888,2698,22,20,425,21
1945,2697,22,20,423,21
2001,2697,21,20,420,21
2057,2697,23,20,429,21
2113,2697,22,20,440,21
2168,2697,21,19,399,21
2316,2694,22,20,388,21
460,2748,22,22,457,22
518,2748,22,21,427,22
575,2746,22,22,466,22
634,2746,22,21,462,22
691,2745,23,22,476,22
750,2745,22,21,462,22
807,2744,22,22,469,22
866,2743,23,22,449,22
922,2742,23,21,456,22
979,2741,22,21,462,22
1035,2740,23,21,453,22
1094,2739,21,21,426,22
1152,2738,21,21,441,22
1207,2737,22,21,444,22
1265,2737,22,21,431,22
1320,2737,22,20,440,22
1378,2736,22,21,414,22
1434,2736,21,21,441,22
1491,2735,22,22,468,22
1549,2735,22,22,471,22
1605,2735,22,21,443,22
1658,2735,23,21,467,22
1717,2735,22,21,444,22
1773,2735,21,21,441,22
1832,2735,22,21,462,22
1888,2735,22,21,432,22
1945,2734,22,21,422,22
2001,2734,22,21,429,22
2058,2734,23,20,443,22
2113,2734,22,20,424,22
2168,2733,22,21,462,22
2316,2731,22,20,440,22
460,2800,22,21,462,23
519,2799,21,22,462,23
575,2798,22,22,474,23
634,2798,22,22,465,23
691,2798,22,20,440,23
750,2797,22,21,462,23
808,2796,22,21,430,23
866,2795,23,21,483,23
923,2794,22,21,447,23
980,2792,22,21,462,23
1036,2791,22,22,465,23
1094,2790,22,21,462,23
1152,2789,21,20,420,23
1208,2788,21,21,441,23
1265,2788,22,21,446,23
1321,2788,21,20,420,23
1379,2787,22,21,450,23
1434,2787,22,21,462,23
1492,2787,22,21,462,23
1549,2787,23,21,446,23
1605,2787,22,20,440,23
1659,2787,23,21,431,23
1718,2786,21,21,415,23
1773,2786,22,21,444,23
1833,2786,22,20,440,23
1889,2786,22,20,440,23
1946,2785,22,21,446,23
2002,2786,21,19,399,23
2059,2785,21,20,420,23
2114,2784,21,21,425,23
2168,2783,22,21,462,23
2316,2781,22,20,424,23
460,2837,22,22,467,24
519,2837,22,22,448,24
575,2837,22,21,462,24
634,2836,22,22,458,24
691,2835,23,22,488,24
750,2835,23,21,447,24
808,2834,22,20,440,24
866,2832,23,22,470,24
923,2831,23,21,468,24
980,2829,22,22,466,24
1036,2828,22,22,452,24
1095,2827,21,21,424,24
1152,2826,22,21,462,24
1208,2826,22,20,440,24
1266,2825,22,21,462,24
1321,2825,22,21,432,24
1379,2824,22,22,422,24
1435,2825,21,20,420,24
1492,2824,22,21,450,24
1550,2824,23,22,458,24
1606,2824,22,21,444,24
1660,2824,22,21,443,24
1718,2824,22,20,440,24
1774,2824,22,20,424,24
1834,2824,21,20,420,24
1890,2823,22,20,420,24
1947,2823,21,20,420,24
2002,2823,22,19,418,24
2059,2821,22,21,435,24
2114,2821,22,20,425,24
2168,2820,22,21,431,24
2316,2818,22,20,440,24
462,2999,22,22,463,25
521,3000,22,21,434,25
577,2999,22,20,440,25
636,2998,22,21,451,25
694,2997,22,21,443,25
752,2996,23,21,449,25
810,2995,22,21,462,25
869,2993,22,22,467,25
926,2992,22,21,462,25
982,2991,22,21,444,25
1038,2990,22,20,423,25
1097,2989,21,20,420,25
1155,2987,21,21,441,25
1210,2986,21,21,441,25
1268,2986,22,21,434,25
1323,2985,21,21,426,25
1381,2985,22,21,434,25
1437,2985,21,21,441,25
1494,2985,22,21,446,25
1552,2985,22,21,462,25
1608,2985,22,21,462,25
1662,2984,22,21,444,25
1720,2984,21,21,411,25
1776,2984,22,20,424,25
1835,2983,22,21,462,25
1891,2983,22,20,440,25
1948,2982,22,20,389,25
2003,2981,22,20,409,25
2060,2980,21,20,420,25
2114,2978,21,21,426,25
2168,2977,22,20,422,25
2317,2975,22,20,406,25
464,3091,22,20,408,26
523,3090,22,20,428,26
580,3089,22,20,413,26
638,3089,23,20,428,26
695,3087,23,21,469,26
755,3087,22,20,424,26
812,3086,22,21,448,26
870,3084,22,22,452,26
927,3083,22,21,410,26
984,3081,21,22,444,26
1039,3081,23,20,460,26
1098,3079,21,21,425,26
1156,3078,21,21,441,26
1211,3078,22,20,440,26
1269,3077,22,21,449,26
1325,3076,21,21,441,26
1383,3076,21,21,429,26
1438,3076,22,21,435,26
1495,3076,22,21,432,26
1554,3076,21,20,420,26
1609,3075,22,21,445,26
1663,3075,21,20,420,26
1721,3074,21,20,405,26
1777,3073,21,20,403,26
1836,3073,21,20,404,26
1891,3072,22,20,410,26
1948,3071,22,20,387,26
2004,3070,21,20,420,26
2060,3070,22,20,400,26
2115,3068,21,21,424,26
2169,3067,22,20,423,26
2315,3063,22,20,404,26
467,3176,21,21,405,27
525,3176,22,20,440,27
582,3175,21,20,420,27
640,3174,22,21,442,27
697,3173,23,22,455,27
756,3173,22,21,445,27
813,3172,22,21,445,27
872,3171,22,21,462,27
928,3169,22,22,431,27
985,3168,21,21,441,27
1041,3167,23,21,447,27
1099,3166,21,21,424,27
1157,3165,21,21,441,27
1212,3164,22,21,429,27
1270,3164,22,21,443,27
1326,3164,21,20,420,27
1383,3162,22,22,440,27
1439,3162,22,21,428,27
1496,3162,22,21,462,27
1554,3161,22,21,443,27
1610,3161,21,21,441,27
1664,3160,21,21,424,27
1722,3160,21,21,423,27
1778,3159,21,21,424,27
1837,3158,21,21,426,27
1892,3158,21,20,420,27
1949,3156,21,21,404,27
2004,3156,21,20,420,27
2060,3155,22,20,440,27
2115,3154,21,20,420,27
2169,3152,22,21,417,27
2314,3148,22,19,418,27
472,3353,22,20,425,28
530,3353,22,20,409,28
587,3352,22,20,409,28
645,3351,22,20,409,28
701,3351,23,19,409,28
761,3349,22,21,415,28
817,3348,22,20,406,28
875,3347,23,20,412,28
932,3347,22,20,440,28
988,3345,22,21,416,28
1044,3344,22,20,440,28
1103,3343,20,21,420,28
1160,3343,21,20,420,28
1215,3343,22,20,425,28
1272,3342,22,20,381,28
1328,3342,21,19,399,28
1386,3341,21,20,408,28
1441,3341,22,19,418,28
1498,3340,22,19,418,28
1556,3339,22,20,429,28
1611,3339,22,19,402,28
1665,3338,21,20,404,28
1723,3337,21,20,420,28
1778,3336,22,21,448,28
1837,3335,22,21,445,28
1893,3335,21,20,420,28
1950,3334,21,20,404,28
2004,3333,22,20,440,28
2061,3332,22,21,378,28
2115,3331,22,20,422,28
2169,3330,22,20,424,28
2315,3324,21,20,420,28
475,3437,22,20,406,29
533,3436,22,20,440,29
589,3435,21,19,385,29
648,3434,21,19,399,29
704,3433,23,20,444,29
763,3433,22,19,403,29
819,3431,22,20,407,29
877,3430,22,20,421,29
934,3430,21,19,399,29
990,3428,22,21,382,29
1046,3428,21,20,404,29
1103,3428,22,19,387,29
1161,3427,21,20,420,29
1216,3427,22,20,407,29
1274,3427,21,19,384,29
1329,3426,21,19,399,29
1387,3425,21,20,387,29
1442,3425,21,19,384,29
1499,3423,22,20,429,29
1556,3423,22,19,407,29
1612,3422,21,20,402,29
1665,3422,22,19,392,29
1723,3422,22,19,387,29
1779,3421,21,20,402,29
1838,3420,21,20,403,29
1893,3420,22,20,440,29
1950,3419,21,20,384,29
2005,3418,21,20,404,29
2062,3417,21,20,408,29
2116,3416,21,20,407,29
2170,3414,21,20,406,29
2315,3408,21,20,407,29
