x,y,width,height,area,group_number,classification
808,2796,22,21,430,23,0
866,2795,23,21,483,23,0
923,2794,22,21,447,23,0
980,2792,22,21,462,23,0
1036,2791,22,22,465,23,1
1094,2790,22,21,462,23,0
1152,2789,21,20,420,23,0
1208,2788,21,21,441,23,0
1265,2788,22,21,446,23,1
1321,2788,21,20,420,23,0
1379,2787,22,21,450,23,0
1434,2787,22,21,462,23,0
1492,2787,22,21,462,23,1
1549,2787,23,21,446,23,0
1605,2787,22,20,440,23,0
1659,2787,23,21,431,23,0
1718,2786,21,21,415,23,1
1773,2786,22,21,444,23,0
1833,2786,22,20,440,23,0
1889,2786,22,20,440,23,0
1946,2785,22,21,446,23,1
2002,2786,21,19,399,23,0
2059,2785,21,20,420,23,0
2114,2784,21,21,425,23,0
2168,2783,22,21,462,23,1
2316,2781,22,20,424,23,0
460,2837,22,22,467,24,0
519,2837,22,22,448,24,0
575,2837,22,21,462,24,0
634,2836,22,22,458,24,0
691,2835,23,22,488,24,0
750,2835,23,21,447,24,1
808,2834,22,20,440,24,0
866,2832,23,22,470,24,0
923,2831,23,21,468,24,1
980,2829,22,22,466,24,0
1036,2828,22,22,452,24,0
1095,2827,21,21,424,24,0
1152,2826,22,21,462,24,1
1208,2826,22,20,440,24,0
1266,2825,22,21,462,24,0
1321,2825,22,21,432,24,0
1379,2824,22,22,422,24,1
1435,2825,21,20,420,24,0
1492,2824,22,21,450,24,0
1550,2824,23,22,458,24,0
1606,2824,22,21,444,24,1
1660,2824,22,21,443,24,0
1718,2824,22,20,440,24,0
1774,2824,22,20,424,24,0
1834,2824,21,20,420,24,1
1890,2823,22,20,420,24,0
1947,2823,21,20,420,24,0
2002,2823,22,19,418,24,0
2059,2821,22,21,435,24,1
2114,2821,22,20,425,24,0
2168,2820,22,21,431,24,0
2316,2818,22,20,440,24,0
462,2999,22,22,463,25,1
521,3000,22,21,434,25,0
577,2999,22,20,440,25,0
636,2998,22,21,451,25,1
694,2997,22,21,443,25,0
752,2996,23,21,449,25,0
810,2995,22,21,462,25,0
869,2993,22,22,467,25,0
926,2992,22,21,462,25,1
982,2991,22,21,444,25,0
1038,2990,22,20,423,25,0
1097,2989,21,20,420,25,0
1155,2987,21,21,441,25,1
1210,2986,21,21,441,25,0
1268,2986,22,21,434,25,0
1323,2985,21,21,426,25,0
1381,2985,22,21,434,25,0
1437,2985,21,21,441,25,1
1494,2985,22,21,446,25,0
1552,2985,22,21,462,25,1
1608,2985,22,21,462,25,0
1662,2984,22,21,444,25,0
1720,2984,21,21,411,25,1
1776,2984,22,20,424,25,0
1835,2983,22,21,462,25,0
1891,2983,22,20,440,25,0
1948,2982,22,20,389,25,0
2003,2981,22,20,409,25,0
2060,2980,21,20,420,25,0
2114,2978,21,21,426,25,1
2168,2977,22,20,422,25,0
2317,2975,22,20,406,25,1
464,3091,22,20,408,26,0
523,3090,22,20,428,26,0
580,3089,22,20,413,26,1
638,3089,23,20,428,26,0
695,3087,23,21,469,26,0
755,3087,22,20,424,26,0
812,3086,22,21,448,26,1
870,3084,22,22,452,26,0
927,3083,22,21,410,26,0
984,3081,21,22,444,26,0
1039,3081,23,20,460,26,1
1098,3079,21,21,425,26,0
1156,3078,21,21,441,26,0
1211,3078,22,20,440,26,0
1269,3077,22,21,449,26,1
1325,3076,21,21,441,26,0
1383,3076,21,21,429,26,0
1438,3076,22,21,435,26,0
1495,3076,22,21,432,26,1
1554,3076,21,20,420,26,0
1609,3075,22,21,445,26,0
1663,3075,21,20,420,26,0
1721,3074,21,20,405,26,0
